"callsign","band","channel","TX","RX","modes","QTHR","NGR","where","postcode","region","ctcss/cc","keeper","lat","lon",
2E0DHT,70CM,,431.137500,431.137500,DMFPN,IO83QP,SD5918,CHORLEY,PR6,NOR,10,2E0DHT,53.66,-2.62,
2E0XTA,70CM,RU69,430.862500,438.462500,AM,JO01FR,TL7006,CHELMSFORD,CM1,SE,,2E0XTA,51.74,0.47,
2M0FPI,70CM,DVU12,439.150000,430.150000,DF,IO87WC,NJ9303,ABERDEEN,AB12,SCOT,,2M0FPI,57.12,-2.1,
2W0FFN,70CM,,431.187500,431.187500,F,IO81,ST1276,CARDIFF,CF5,WM,,2W0FFN,51.5,-3.3,
G7RPG,70CM,RU70,430.875000,438.475000,A,IO90,SU6501,PORTSMOUTH,PO2,SW,82.5,G7RPG,50.8,-1.1,
GB3CP,2M,RV59,145.737500,145.137500,A,IO64IG,IH5181,FERMANAGH,BT92,NI,110.9,GI6JPO,54.27,-7.27,
GB3FK,2M,RV60,145.750000,145.150000,AF,JO01,TR2238,FOLKESTONE,CT18,SE,103.5,M1CMN,51.1,1.2,
GB3GS,70CM,RU79,430.987500,438.587500,A,IO82,SS7241,PINKERY CTR  SIMONSBATH ,TA24,XXX,141.3,G4XUR,51.2,-3.8,
GB3HK,70CM,RB02,433.050000,434.650000,A,IO85,NT5029,SELKIRK,TD7,SCOT,118.8,GM7LUN,55.6,-2.8,
GB3XL,70CM,RU71,430.887500,438.487500,AM,IO93CT,SE1536,SHIPLEY,BD18,NOR,82.5,M0IRK,53.83,-1.76,
GB7DC,70CM,DMU28,439.350000,430.350000,ADMFPN,IO92,SK3837,DERBY,DE21,CEN,71.9,G7NPW,52.9,-1.4,
M0IDL,,RU67,430.837500,438.437500,A,IO90AR,SZ0192,POOLE,BH15,SW,71.9,M0IDL,50.73,-1.98,
